Timestamp,Server,Throughput (Mbps),Source CI (TACC),Destination CI
2025-03-29 17:13:56,Virginia,4742.321510921873,267,334
2025-03-29 17:24:21,Oregon,4433.6960085291,267,129
2025-03-29 17:24:45,Virginia,4382.945057758075,267,334
2025-03-29 17:35:10,Oregon,4125.3761933100695,267,129
2025-03-29 17:35:34,Virginia,4743.68410407478,267,334
2025-03-29 17:45:59,Oregon,4187.395136170857,264,129
2025-03-29 17:46:23,Virginia,4364.384181025975,264,329
2025-03-29 17:56:49,Oregon,3693.8078700701567,264,129
2025-03-29 17:57:13,Virginia,4274.103766911726,264,329
2025-03-29 18:07:38,Oregon,4269.341786838381,267,112
2025-03-29 18:08:02,Virginia,4278.674422547445,267,325
2025-03-29 18:18:27,Oregon,4043.06788700054,267,112
2025-03-29 18:18:51,Virginia,4405.380830757278,267,325
2025-03-29 18:29:16,Oregon,4398.771238647252,267,112
2025-03-29 18:29:40,Virginia,4493.824945198256,267,325
2025-03-29 18:40:05,Oregon,4718.579050841336,267,112
2025-03-29 18:40:29,Virginia,4323.757965667924,267,325
2025-03-29 18:50:54,Oregon,3840.572475172945,248,112
2025-03-29 18:51:18,Virginia,4294.695092986397,248,322
2025-03-29 19:01:43,Oregon,3988.492362781324,244,123
2025-03-29 19:02:07,Virginia,4269.134218358625,244,322
2025-03-29 19:12:32,Oregon,3466.859743818102,244,123
2025-03-29 19:12:56,Virginia,4352.3793565713795,244,322
2025-03-29 19:23:21,Oregon,4176.966396727553,244,123
2025-03-29 19:23:45,Virginia,4295.4478677758,244,322
2025-03-29 19:34:10,Oregon,4189.597223565892,244,123
2025-03-29 19:34:34,Virginia,4296.385301108548,244,322
2025-03-29 19:44:59,Oregon,3611.346985336056,250,123
2025-03-29 19:45:23,Virginia,4171.666810974682,250,326
2025-03-29 19:55:48,Oregon,4288.419392520327,250,123
2025-03-29 19:56:12,Virginia,4187.920439737814,250,326
2025-03-29 20:06:37,Oregon,3571.1248385537033,254,100
2025-03-29 20:07:01,Virginia,4188.7579940340565,254,330
2025-03-29 20:17:27,Oregon,3736.4329289004877,254,100
2025-03-29 20:17:51,Virginia,4372.930657579342,254,330
2025-03-29 20:28:17,Oregon,4221.830565962551,254,100
2025-03-29 20:28:41,Virginia,4313.216947687376,254,330
2025-03-29 20:39:06,Oregon,3968.519572337403,254,100
2025-03-29 20:39:30,Virginia,4084.641853977596,254,330
2025-03-29 20:49:55,Oregon,4232.375510269384,240,100
2025-03-29 20:50:19,Virginia,4391.646185505035,240,340
2025-03-29 21:00:44,Oregon,3819.46990996443,246,99
2025-03-29 21:01:08,Virginia,4109.80967257222,246,353
2025-03-29 21:11:33,Oregon,4395.05363449802,246,99
2025-03-29 21:11:57,Virginia,4202.287806848177,246,353
2025-03-29 21:22:22,Oregon,4019.6336112550885,246,99
2025-03-29 21:22:46,Virginia,4171.096593558937,246,353
2025-03-29 21:33:11,Oregon,3825.5524316541,246,99
2025-03-29 21:33:35,Virginia,4069.858219728837,246,353
2025-03-29 21:44:00,Oregon,3974.9647519219343,246,99
2025-03-29 21:44:24,Virginia,4039.049723299455,246,353
2025-03-29 21:54:49,Oregon,3847.838144309022,232,99
2025-03-29 21:55:13,Virginia,4569.744649559255,232,364
2025-03-29 22:05:38,Oregon,4164.117516354895,250,95
2025-03-29 22:06:02,Virginia,4412.249254319517,250,384
2025-03-29 22:16:27,Oregon,4306.1912623433855,250,95
2025-03-29 22:16:51,Virginia,4390.699230566474,250,384
2025-03-29 22:27:16,Oregon,3963.958339476718,250,95
2025-03-29 22:27:40,Virginia,4325.5339518726105,250,384
2025-03-29 22:38:05,Oregon,3834.21033260071,250,95
2025-03-29 22:38:29,Virginia,4197.307574049268,250,384
2025-03-29 22:48:54,Oregon,3986.612014903136,250,95
2025-03-29 22:49:18,Virginia,4298.80440258157,250,382
2025-03-29 22:59:43,Oregon,4261.421879540356,219,95
2025-03-29 23:00:07,Virginia,4187.133845222825,219,382
2025-03-29 23:10:32,Oregon,3609.880328046957,272,102
2025-03-29 23:10:56,Virginia,4540.586613891158,272,425
2025-03-29 23:21:21,Oregon,3699.787171146261,272,102
2025-03-29 23:21:45,Virginia,4086.53632940016,272,425
2025-03-29 23:32:10,Oregon,3919.865204121452,272,102
2025-03-29 23:32:34,Virginia,4316.731194003635,272,425
2025-03-29 23:42:59,Oregon,4364.122052701248,272,102
2025-03-29 23:43:23,Virginia,4029.7568030027046,272,425
2025-03-29 23:53:48,Oregon,3822.5632137663706,223,91
2025-03-29 23:54:12,Virginia,4217.4902090541345,223,414
2025-03-30 00:04:37,Oregon,4277.10143647611,298,189
2025-03-30 00:05:01,Virginia,4744.4251796332865,298,387
2025-03-30 00:15:26,Oregon,4228.081045822349,298,189
2025-03-30 00:15:50,Virginia,4439.933781896935,298,387
2025-03-30 00:26:15,Oregon,3920.4939197919402,298,189
2025-03-30 00:26:39,Virginia,4319.45603404757,298,387
2025-03-30 00:37:05,Oregon,3641.439541202771,298,189
2025-03-30 00:37:29,Virginia,4257.120844861393,298,387
2025-03-30 00:47:54,Oregon,4402.552046136062,285,189
2025-03-30 00:48:18,Virginia,4219.387124012369,285,337
2025-03-30 00:58:43,Oregon,4147.39539060449,285,189
2025-03-30 00:59:07,Virginia,4262.476573482566,285,337
2025-03-30 01:09:32,Oregon,4221.739645717707,321,250
2025-03-30 01:09:56,Virginia,4381.423179307354,321,341
2025-03-30 01:20:21,Oregon,3972.397484230443,321,250
2025-03-30 01:20:45,Virginia,4744.0954318447575,321,341
2025-03-30 01:31:10,Oregon,4103.403066192042,321,250
2025-03-30 01:31:34,Virginia,4225.881067557548,321,341
2025-03-30 01:41:59,Oregon,4387.822840816961,321,250
2025-03-30 01:42:23,Virginia,4563.609009155667,321,341
2025-03-30 01:52:48,Oregon,3915.30593510508,340,250
2025-03-30 01:53:12,Virginia,4659.33260267677,340,341
2025-03-30 02:03:37,Oregon,4717.575885762031,323,265
2025-03-30 02:04:01,Virginia,4359.561019851013,323,343
2025-03-30 02:14:26,Oregon,4108.862106375354,323,265
2025-03-30 02:14:50,Virginia,4567.010289386753,323,343
2025-03-30 02:25:15,Oregon,4170.820076378276,323,265
2025-03-30 02:25:39,Virginia,3987.711360856526,323,343
2025-03-30 02:36:04,Oregon,4106.502951098966,323,265
2025-03-30 02:36:28,Virginia,4324.069709445317,323,343
2025-03-30 02:46:53,Oregon,3969.203884531978,323,265
2025-03-30 02:47:17,Virginia,4229.87768920048,323,400
2025-03-30 02:57:42,Oregon,4223.774957648819,363,265
2025-03-30 02:58:06,Virginia,4003.122726627538,363,400
2025-03-30 03:08:31,Oregon,3658.263448585292,333,280
2025-03-30 03:08:55,Virginia,4344.934476565026,333,399
2025-03-30 03:19:20,Oregon,4016.4307826520167,333,280
2025-03-30 03:19:44,Virginia,4370.832319285691,333,399
2025-03-30 03:30:09,Oregon,4148.238556844425,333,280
2025-03-30 03:30:33,Virginia,4416.04090331555,333,399
2025-03-30 03:40:58,Oregon,3454.010609659707,333,280
2025-03-30 03:41:22,Virginia,4387.9235239694435,333,399
2025-03-30 03:51:47,Oregon,4131.767374143652,383,280
2025-03-30 03:52:11,Virginia,4248.264094378817,383,394
2025-03-30 04:02:36,Oregon,4467.75633486639,354,280
2025-03-30 04:03:00,Virginia,4243.42777622093,354,391
2025-03-30 04:13:25,Oregon,3984.2945245223614,354,280
2025-03-30 04:13:49,Virginia,4341.28334623845,354,391
2025-03-30 04:24:14,Oregon,4395.265754430625,354,280
2025-03-30 04:24:38,Virginia,4355.685004984706,354,391
2025-03-30 04:35:03,Oregon,4567.960346307845,354,280
2025-03-30 04:35:27,Virginia,4743.35674377135,354,391
2025-03-30 04:45:52,Oregon,4190.067169156417,388,280
2025-03-30 04:46:16,Virginia,4423.204450212543,388,387
2025-03-30 04:56:41,Oregon,4266.196456307306,388,280
2025-03-30 04:57:05,Virginia,4289.21092423984,388,387
2025-03-30 05:07:30,Oregon,4037.630413892203,379,282
2025-03-30 05:07:54,Virginia,4347.85610999732,379,384
2025-03-30 05:18:19,Oregon,3795.779404359994,379,282
2025-03-30 05:18:43,Virginia,4297.068982714486,379,384
2025-03-30 05:29:08,Oregon,3801.489436382761,379,282
2025-03-30 05:29:32,Virginia,4318.511076460966,379,384
2025-03-30 05:39:57,Oregon,4013.527141754515,379,282
2025-03-30 05:40:21,Virginia,4125.011482221401,379,384
2025-03-30 05:50:46,Oregon,3885.387392330356,410,282
2025-03-30 05:51:10,Virginia,4301.369822095585,410,385
2025-03-30 06:01:35,Oregon,3719.9151098849184,396,285
2025-03-30 06:01:59,Virginia,4488.536010084615,396,381
2025-03-30 06:12:24,Oregon,4495.0352307425255,396,285
2025-03-30 06:12:48,Virginia,4425.986550197573,396,381
2025-03-30 06:23:13,Oregon,4216.9179538668795,396,285
2025-03-30 06:23:37,Virginia,4744.476182119537,396,381
2025-03-30 06:34:02,Oregon,3832.42402458255,396,285
2025-03-30 06:34:26,Virginia,4484.917511709067,396,381
2025-03-30 06:44:51,Oregon,4418.960181973154,396,285
2025-03-30 06:45:15,Virginia,4496.391555745811,396,381
2025-03-30 06:55:40,Oregon,3762.020062036402,410,285
2025-03-30 06:56:04,Virginia,4239.6762479779145,410,373
2025-03-30 07:06:29,Oregon,4155.2652670879825,414,274
2025-03-30 07:06:53,Virginia,4296.605744497107,414,372
2025-03-30 07:17:18,Oregon,4397.8903376042845,414,274
2025-03-30 07:17:42,Virginia,4265.028803168524,414,372
2025-03-30 07:28:08,Oregon,4401.44890608297,414,274
2025-03-30 07:28:31,Virginia,4271.80558259286,414,372
2025-03-30 07:38:57,Oregon,4090.3621835571353,414,274
2025-03-30 07:39:20,Virginia,4295.869636019775,414,372
2025-03-30 07:49:45,Oregon,4228.707624435508,387,274
2025-03-30 07:50:09,Virginia,4286.539569577986,387,366
2025-03-30 08:00:34,Oregon,3915.93602200989,402,262
2025-03-30 08:00:58,Virginia,4453.5615730864,402,364
2025-03-30 08:11:23,Oregon,3547.961252095813,402,262
2025-03-30 08:11:47,Virginia,4442.7063474778815,402,364
2025-03-30 08:22:12,Oregon,4123.390202459727,402,262
2025-03-30 08:22:36,Virginia,4226.878424475695,402,364
2025-03-30 08:33:01,Oregon,4166.577147593997,402,262
2025-03-30 08:33:25,Virginia,4320.193449415503,402,364
2025-03-30 08:43:51,Oregon,4016.069669461634,402,262
2025-03-30 08:44:15,Virginia,4744.63891532626,402,364
2025-03-30 08:54:40,Oregon,4379.64004952504,378,262
2025-03-30 08:55:04,Virginia,4206.01381759858,378,356
2025-03-30 09:05:29,Oregon,4171.933528111871,378,270
2025-03-30 09:05:53,Virginia,4523.3959720866405,378,358
2025-03-30 09:16:18,Oregon,4188.444068289123,378,270
2025-03-30 09:16:42,Virginia,4460.803007825546,378,358
2025-03-30 09:27:07,Oregon,4269.91526762463,378,270
2025-03-30 09:27:31,Virginia,4476.099916150077,378,358
2025-03-30 09:37:56,Oregon,4717.31422914052,378,270
2025-03-30 09:38:20,Virginia,4293.876169975014,378,358
2025-03-30 09:48:45,Oregon,4017.2812849495367,359,270
2025-03-30 09:49:09,Virginia,4346.196821226911,359,357
2025-03-30 09:59:34,Oregon,4315.10146707139,359,270
2025-03-30 09:59:58,Virginia,4744.049423429652,359,357
2025-03-30 10:10:23,Oregon,4165.167695463736,373,265
2025-03-30 10:10:47,Virginia,4742.739256444614,373,359
2025-03-30 10:21:12,Oregon,4030.59057687209,373,265
2025-03-30 10:21:36,Virginia,4355.737212917577,373,359
2025-03-30 10:32:01,Oregon,3770.982981495583,373,265
2025-03-30 10:32:25,Virginia,4536.504216578964,373,359
2025-03-30 10:42:50,Oregon,4180.5766644829655,373,265
2025-03-30 10:43:14,Virginia,4389.239212982119,373,359
2025-03-30 10:53:39,Oregon,4258.386512424303,361,265
2025-03-30 10:54:03,Virginia,4682.031050841607,361,356
2025-03-30 11:04:28,Oregon,4432.179651225141,368,264
2025-03-30 11:04:52,Virginia,3950.9559798758,368,355
2025-03-30 11:15:17,Oregon,4719.101184805392,368,264
2025-03-30 11:15:41,Virginia,4378.07275184038,368,355
2025-03-30 11:26:06,Oregon,3604.2650055924164,368,264
2025-03-30 11:26:30,Virginia,3983.771662580163,368,355
2025-03-30 11:36:55,Oregon,4342.576189987886,368,264
2025-03-30 11:37:19,Virginia,4430.493387544763,368,355
2025-03-30 11:47:44,Oregon,4717.628311426976,368,264
2025-03-30 11:48:08,Virginia,4433.481207423796,356,355
2025-03-30 11:58:34,Oregon,4000.2377123155457,356,264
2025-03-30 11:58:58,Virginia,4337.177212532435,356,353
2025-03-30 12:09:23,Oregon,4409.266281922508,361,256
2025-03-30 12:09:47,Virginia,4449.995959341025,361,351
2025-03-30 12:20:12,Oregon,4113.735842875843,361,256
2025-03-30 12:20:36,Virginia,4744.311077273148,361,351
2025-03-30 12:31:01,Oregon,4122.020331984147,361,256
2025-03-30 12:31:25,Virginia,4342.6564070119675,361,351
2025-03-30 12:41:50,Oregon,4273.53114466722,361,256
2025-03-30 12:42:14,Virginia,4573.967354859864,361,351
2025-03-30 12:52:39,Oregon,3702.615938020891,356,348
2025-03-30 12:53:03,Virginia,4744.733566316126,356,348
2025-03-30 13:03:28,Oregon,4348.281860847888,325,340
2025-03-30 13:03:52,Virginia,4256.174629434919,325,335
2025-03-30 13:14:17,Oregon,4367.74706668278,325,340
2025-03-30 13:14:41,Virginia,4318.778171043543,325,335
2025-03-30 13:25:06,Oregon,3912.266028944675,325,340
2025-03-30 13:25:30,Virginia,4425.570684914933,325,335
2025-03-30 13:35:55,Oregon,4234.058846848632,325,340
2025-03-30 13:36:19,Virginia,4373.66417973168,325,335
2025-03-30 13:46:44,Oregon,4390.0282327625,356,340
2025-03-30 13:47:08,Virginia,4270.756640985174,356,340
2025-03-30 13:57:33,Oregon,3705.9709961286303,356,340
2025-03-30 13:57:57,Virginia,4186.08826180138,356,340
2025-03-30 14:08:22,Oregon,3800.495819022723,284,340
2025-03-30 14:08:46,Virginia,4403.395040129657,284,328
2025-03-30 14:19:11,Oregon,4456.601148481379,284,340
2025-03-30 14:19:35,Virginia,4305.095274052651,284,328
2025-03-30 14:30:00,Oregon,3846.783283089702,284,340
2025-03-30 14:30:24,Virginia,4415.394353017689,284,328
